Age_band_of_driver,sexe,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Day_of_week,hour
18-30,M,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Getting off the vehicle improperly,2,Tuesday,7
31-50,M,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,1,Saturday,19
31-50,M,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,1,Tuesday,7
18-30,M,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,1,Tuesday,7
Unknown,M,Unknown,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving carelessly,2,Wednesday,14
31-50,M,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Wednesday,14
18-30,M,High school,Employee,2-5yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Saturday,16
Unknown,M,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Moving Backward,Not a Pedestrian,Overtaking,2,Saturday,16
Unknown,M,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving carelessly,2,Thursday,2
31-50,M,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Wednesday,17
18-30,M,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,Wednesday,17
Unknown,M,Junior high school,Employee,Above 10yr,One way,T Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Overtaking,2,Thursday,18
31-50,M,Junior high school,Employee,5-10yr,Undivided Two way,T Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Unknown or other,Driving carelessly,2,Thursday,18
18-30,M,High school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Thursday,9
31-50,M,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Other,Unknown,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,Friday,13
Under 18,M,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,Tuesday,17
Unknown,M,Junior high school,Unknown,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,Friday,9
Under 18,M,Junior high school,Employee,2-5yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Friday,9
31-50,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Windy,Collision with roadside objects,Unknown,Not a Pedestrian,No distancing,2,Wednesday,21
18-30,M,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Windy,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,Wednesday,21
51,M,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the right,2,Monday,13
31-50,M,Junior high school,Employee,5-10yr,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Monday,13
18-30,M,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Saturday,11
31-50,M,Junior high school,Employee,2-5yr,One way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2,Saturday,11
Under 18,M,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Friday,19
Under 18,M,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Friday,19
51,M,Elementary school,Other,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Friday,19
Unknown,F,Elementary school,Employee,5-10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Other,Not a Pedestrian,Moving Backward,2,Friday,19
18-30,M,Junior high school,Unknown,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,1,Wednesday,22
51,M,Junior high school,Employee,5-10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving to the left,1,Wednesday,22
Unknown,F,Elementary school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving to the left,1,Wednesday,22
31-50,M,Junior high school,Unknown,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Thursday,12
51,M,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Wednesday,17
31-50,M,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Overtaking,2,Wednesday,17
31-50,M,Unknown,Unknown,Unknown,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,Thursday,18
18-30,M,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown,Not a Pedestrian,Changing lane to the left,2,Thursday,18
51,M,High school,Owner,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Thursday,18
51,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Friday,16
Unknown,M,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Tuesday,7
18-30,M,Above high school,Owner,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Tuesday,7
31-50,F,Unknown,Unknown,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Changing lane to the right,2,Tuesday,7
51,M,Elementary school,Owner,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,Friday,13
51,M,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving at high speed,2,Friday,13
18-30,M,Unknown,Owner,5-10yr,other,No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Friday,16
31-50,M,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Rollover,Turnover,Not a Pedestrian,No priority to vehicle,2,Friday,16
31-50,M,Junior high school,Employee,2-5yr,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Saturday,17
18-30,M,Junior high school,Employee,5-10yr,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Turnover,2,Tuesday,19
18-30,M,Junior high school,Employee,Above 10yr,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Tuesday,19
51,M,Elementary school,Employee,2-5yr,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Thursday,7
18-30,M,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Friday,7
31-50,M,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2,Friday,7
18-30,M,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Driving carelessly,2,Saturday,13
31-50,M,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Saturday,13
31-50,M,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads with some distress,Daylight,Normal,Rollover,Unknown,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No priority to vehicle,13:10:00,,
31-50,M,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,Saturday,13
Unknown,M,Junior high school,Employee,2-5yr,Undivided Two way,Other,Asphalt roads,Darkness - lights lit,Unknown,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No priority to pedestrian,2,Saturday,21
18-30,M,Junior high school,Employee,Above 10yr,Undivided Two way,Other,Asphalt roads,Darkness - lights lit,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,Saturday,21
Unknown,M,Junior high school,Employee,Above 10yr,One way,Unknown,Asphalt roads,Daylight,Other,Fall from vehicles,Going straight,"Walking along in carriageway, back to traffic",No priority to vehicle,21:50:00,,
Under 18,M,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,Monday,21
Under 18,M,Unknown,Employee,Unknown,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the left,2,Wednesday,19
Unknown,M,Unknown,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,Wednesday,19
Under 18,M,Elementary school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Unknown or other,No priority to vehicle,2,Wednesday,17
31-50,M,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2,Wednesday,17
51,M,Junior high school,Employee,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,Saturday,10
31-50,M,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Saturday,10
Unknown,M,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,1,Monday,17
31-50,M,Elementary school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,1,Monday,17
18-30,M,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Overturning,2,Tuesday,8
18-30,M,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,Tuesday,8
Unknown,M,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,Thursday,8
18-30,M,Elementary school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Thursday,8
31-50,M,Elementary school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,Tuesday,16
Unknown,M,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,Tuesday,16
Unknown,F,Unknown,Unknown,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overspeed,2,Tuesday,16
18-30,M,Junior high school,Employee,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,Wednesday,19
51,M,Junior high school,Employee,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Driving carelessly,2,Wednesday,19
